,orig,dest,distance,duration
0,Aabenraa,Aabenraa,0,0
1,Aabenraa,Aalborg,257499.7,9894.1
2,Aabenraa,Aarhus,154397,6162.2
3,Aabenraa,Albertslund,278055.8,10909.7
4,Aabenraa,Allerød,313118.5,12584.5
5,Aabenraa,Assens,128949,6038.7
6,Aabenraa,Ballerup,283681,11191.2
7,Aabenraa,Billund,99143.9,4630.7
8,Aabenraa,Bornholm,460208.5,21155.9
9,Aabenraa,Brønderslev,303201.6,11674.3
10,Aabenraa,Dragør,291069.9,11632.1
11,Aabenraa,Egedal,281001.7,11029.7
12,Aabenraa,Esbjerg,68108.1,3725.1
13,Aabenraa,Faaborg-Midtfyn,129434.5,6128.7
14,Aabenraa,Fanø,134785.2,6099.1
15,Aabenraa,Favrskov,151787.7,6285.1
16,Aabenraa,Faxe,259086.2,10224.7
17,Aabenraa,Fredensborg,316560.8,12737.5
18,Aabenraa,Fredericia,81939.1,3478.2
19,Aabenraa,Frederiksberg,283105,11375.7
20,Aabenraa,Frederikshavn,341773.9,13190.6
21,Aabenraa,Frederikssund,271722.2,12123.8
22,Aabenraa,Furesø,286636.6,11460.9
23,Aabenraa,Gentofte,297489.3,11901.6
24,Aabenraa,Gladsaxe,290587,11533.9
25,Aabenraa,Glostrup,278055.8,10909.7
26,Aabenraa,Greve,258328,10135.4
27,Aabenraa,Gribskov,329256.2,13327.2
28,Aabenraa,Guldborgsund,293851.7,12850
29,Aabenraa,Haderslev,32002.8,1629.7
30,Aabenraa,Halsnæs,286174.4,13712
31,Aabenraa,Hedensted,85443.2,3593
32,Aabenraa,Helsingør,316560.8,12737.5
33,Aabenraa,Herlev,281610.4,11061.4
34,Aabenraa,Herning,177636.4,6904.9
35,Aabenraa,Hillerød,284444.7,12792.4
36,Aabenraa,Hjørring,316861.4,12046
37,Aabenraa,Holbæk,234033.7,10004.8
38,Aabenraa,Holstebro,202449.1,7826.7
39,Aabenraa,Horsens,112634.8,4647.9
40,Aabenraa,Hvidovre,277557.4,10925.4
41,Aabenraa,Høje-Taastrup,273249.8,10763.6
42,Aabenraa,Hørsholm,309859.5,12348.4
43,Aabenraa,Ikast-Brande,157786.7,6103.9
44,Aabenraa,Ishøj,270820.5,10787.3
45,Aabenraa,Jammerbugt,288334.4,12095.9
46,Aabenraa,Kalundborg,228637.8,9934.8
47,Aabenraa,Kerteminde,138190.8,5651.2
48,Aabenraa,Kolding,54626.9,2354.2
49,Aabenraa,København,285190.2,11548.3
50,Aabenraa,Køge,247678.2,9801.2
51,Aabenraa,Langeland,182005.7,7561.4
52,Aabenraa,Lejre,236304.6,9881.4
53,Aabenraa,Lemvig,250339.4,10660.9
54,Aabenraa,Lolland,305780.9,13498.6
55,Aabenraa,Lyngby-Taarbæk,297472.8,11906.7
56,Aabenraa,Læsø,342784.8,13430.4
57,Aabenraa,Mariagerfjord,183475.4,7454
58,Aabenraa,Middelfart,101797.6,4277.4
59,Aabenraa,Morsø,241619.5,10699.6
60,Aabenraa,Norddjurs,198063.1,7871.9
61,Aabenraa,Nordfyn,109652.7,5122.9
62,Aabenraa,Nyborg,160888.2,6592.3
63,Aabenraa,Næstved,243248.5,10759.1
64,Aabenraa,Odder,152396,6388.3
65,Aabenraa,Odense,138190.8,5651.2
66,Aabenraa,Odsherred,241069.8,10520.4
67,Aabenraa,Randers,201209.7,8178.7
68,Aabenraa,Rebild,215238.3,9050.9
69,Aabenraa,Ringkøbing-Skjern,191007.6,7961.4
70,Aabenraa,Ringsted,230934.8,9600.7
71,Aabenraa,Roskilde,248163.3,9995.8
72,Aabenraa,Rudersdal,304614.3,12093.7
73,Aabenraa,Rødovre,279670.4,11056.9
74,Aabenraa,Samsø,171858.9,10492.4
75,Aabenraa,Silkeborg,167603.6,7345.6
76,Aabenraa,Skanderborg,154906.8,6029.2
77,Aabenraa,Skive,227481,9353
78,Aabenraa,Slagelse,194561.7,8322.7
79,Aabenraa,Solrød,257069.4,10051.7
80,Aabenraa,Sorø,219357.4,9067.4
81,Aabenraa,Stevns,248096,10011.7
82,Aabenraa,Struer,191838.9,7637.3
83,Aabenraa,Svendborg,167290.5,7051.1
84,Aabenraa,Syddjurs,191336.1,7657.8
85,Aabenraa,Sønderborg,61357.2,3299.9
86,Aabenraa,Thisted,244756.4,10314.1
87,Aabenraa,Tårnby,285190.2,11548.3
88,Aabenraa,Tønder,42453.6,2647.9
89,Aabenraa,Vallensbæk,271002,10624.6
90,Aabenraa,Varde,136014.2,6166.3
91,Aabenraa,Vejen,87575.5,3844.1
92,Aabenraa,Vejle,94102.8,4439.7
93,Aabenraa,Vesthimmerland,248739.2,10139.4
94,Aabenraa,Viborg,183689.3,8631.1
95,Aabenraa,Vordingborg,277930.3,12826.6
96,Aabenraa,Ærø,181730.3,10373.2
97,Aalborg,Aabenraa,257897,9877.7
98,Aalborg,Aalborg,0,0
99,Aalborg,Aarhus,117767.2,5114.1
100,Aalborg,Albertslund,399939.9,15362.5
101,Aalborg,Allerød,435002.7,17037.3
102,Aalborg,Assens,250833.1,10491.5
103,Aalborg,Ballerup,405565.2,15644
104,Aalborg,Billund,201270.9,8210.9
105,Aalborg,Bornholm,582092.7,25608.7
106,Aalborg,Brønderslev,49748.1,2547
107,Aalborg,Dragør,412954.1,16084.9
108,Aalborg,Egedal,402885.9,15482.5
109,Aalborg,Esbjerg,236463.6,9196.8
110,Aalborg,Faaborg-Midtfyn,251318.6,10581.5
111,Aalborg,Fanø,277267.4,11372.5
112,Aalborg,Favrskov,130672,5163.8
113,Aalborg,Faxe,380970.3,14677.5
114,Aalborg,Fredensborg,438444.9,17190.3
115,Aalborg,Fredericia,203823.2,7931
116,Aalborg,Frederiksberg,404989.1,15828.5
117,Aalborg,Frederikshavn,88320.4,4063.3
118,Aalborg,Frederikssund,393606.3,16576.6
119,Aalborg,Furesø,408520.7,15913.7
120,Aalborg,Gentofte,419373.5,16354.4
121,Aalborg,Gladsaxe,412471.2,15986.7
122,Aalborg,Glostrup,399939.9,15362.5
123,Aalborg,Greve,380212.1,14588.2
124,Aalborg,Gribskov,451140.3,17780
125,Aalborg,Guldborgsund,415735.9,17302.8
126,Aalborg,Haderslev,232795.2,9022.6
127,Aalborg,Halsnæs,408058.5,18164.8
128,Aalborg,Hedensted,174943,6783.4
129,Aalborg,Helsingør,438444.9,17190.3
130,Aalborg,Herlev,403494.5,15514.2
131,Aalborg,Herning,120590.7,6701.1
132,Aalborg,Hillerød,406328.8,17245.2
133,Aalborg,Hjørring,63407.8,2918.7
134,Aalborg,Holbæk,355917.8,14457.6
135,Aalborg,Holstebro,117887.1,6845.5
136,Aalborg,Horsens,152385.9,6135.5
137,Aalborg,Hvidovre,399441.6,15378.2
138,Aalborg,Høje-Taastrup,395133.9,15216.4
139,Aalborg,Hørsholm,431743.7,16801.2
140,Aalborg,Ikast-Brande,119706.5,6772.6
141,Aalborg,Ishøj,392704.6,15240.1
142,Aalborg,Jammerbugt,49377.1,2996.9
143,Aalborg,Kalundborg,350522,14387.6
144,Aalborg,Kerteminde,260075,10104
145,Aalborg,Kolding,218154.8,8465.4
146,Aalborg,København,407074.3,16001.1
147,Aalborg,Køge,369562.3,14254
148,Aalborg,Langeland,303889.8,12014.2
149,Aalborg,Lejre,358188.7,14334.2
150,Aalborg,Lemvig,165782.1,9708.2
151,Aalborg,Lolland,427665,17951.4
152,Aalborg,Lyngby-Taarbæk,419356.9,16359.5
153,Aalborg,Læsø,89331.3,4303.1
154,Aalborg,Mariagerfjord,94952,4424.4
155,Aalborg,Middelfart,223681.7,8730.2
156,Aalborg,Morsø,119788.3,6712.4
157,Aalborg,Norddjurs,99829.4,4363.5
158,Aalborg,Nordfyn,231536.9,9575.7
159,Aalborg,Nyborg,282772.3,11045.1
160,Aalborg,Næstved,365132.6,15211.9
161,Aalborg,Odder,127036.2,5732.2
162,Aalborg,Odense,260075,10104
163,Aalborg,Odsherred,362953.9,14973.2
164,Aalborg,Randers,102976,4670.3
165,Aalborg,Rebild,38072.9,2710.5
166,Aalborg,Ringkøbing-Skjern,149367,8469.8
167,Aalborg,Ringsted,352819,14053.5
168,Aalborg,Roskilde,370047.5,14448.6
169,Aalborg,Rudersdal,426498.4,16546.5
170,Aalborg,Rødovre,401554.6,15509.7
171,Aalborg,Samsø,169450.9,10695.5
172,Aalborg,Silkeborg,99671.4,4493.3
173,Aalborg,Skanderborg,110313.6,4418.8
174,Aalborg,Skive,106546.4,6131.9
175,Aalborg,Slagelse,316445.8,12775.5
176,Aalborg,Solrød,378953.6,14504.5
177,Aalborg,Sorø,341241.5,13520.2
178,Aalborg,Stevns,369980.1,14464.5
179,Aalborg,Struer,124703.1,7055.1
180,Aalborg,Svendborg,289174.6,11503.9
181,Aalborg,Syddjurs,111371.4,5170.6
182,Aalborg,Sønderborg,320123.7,12526.8
183,Aalborg,Thisted,129622.4,7719.2
184,Aalborg,Tårnby,407074.3,16001.1
185,Aalborg,Tønder,280208.9,11407.8
186,Aalborg,Vallensbæk,392886.2,15077.4
187,Aalborg,Varde,171176.9,9397.1
188,Aalborg,Vejen,230057.7,9117.5
189,Aalborg,Vejle,180405.1,7503.5
190,Aalborg,Vesthimmerland,51986.9,2829.7
191,Aalborg,Viborg,72025.9,3911.5
192,Aalborg,Vordingborg,399814.5,17279.4
193,Aalborg,Ærø,303614.4,14826
194,Aarhus,Aabenraa,154360.5,6166.8
195,Aarhus,Aalborg,117085.3,5126.7
196,Aarhus,Aarhus,0,0
197,Aarhus,Albertslund,296403.4,11651.6
198,Aarhus,Allerød,331466.1,13326.4
199,Aarhus,Assens,147296.6,6780.6
200,Aarhus,Ballerup,302028.6,11933.1
201,Aarhus,Billund,97734.3,4500
202,Aarhus,Bornholm,478556.1,21897.8
203,Aarhus,Brønderslev,162787.3,6906.9
204,Aarhus,Dragør,309417.5,12374
205,Aarhus,Egedal,299349.3,11771.6
206,Aarhus,Esbjerg,132927.1,5485.9
207,Aarhus,Faaborg-Midtfyn,147782.1,6870.6
208,Aarhus,Fanø,173730.8,7661.6
209,Aarhus,Favrskov,33626.2,1880.9
210,Aarhus,Faxe,277433.8,10966.6
211,Aarhus,Fredensborg,334908.4,13479.4
212,Aarhus,Fredericia,100286.7,4220.1
213,Aarhus,Frederiksberg,301452.6,12117.6
214,Aarhus,Frederikshavn,201359.5,8423.2
215,Aarhus,Frederikssund,290069.7,12865.7
216,Aarhus,Furesø,304984.1,12202.8
217,Aarhus,Gentofte,315836.9,12643.5
218,Aarhus,Gladsaxe,308934.6,12275.8
219,Aarhus,Glostrup,296403.4,11651.6
220,Aarhus,Greve,276675.6,10877.3
221,Aarhus,Gribskov,347603.7,14069.1
222,Aarhus,Guldborgsund,312199.3,13591.9
223,Aarhus,Haderslev,129258.6,5311.7
224,Aarhus,Halsnæs,304522,14453.9
225,Aarhus,Hedensted,71406.5,3072.5
226,Aarhus,Helsingør,334908.4,13479.4
227,Aarhus,Herlev,299958,11803.3
228,Aarhus,Herning,109348.9,4733.9
229,Aarhus,Hillerød,302792.3,13534.3
230,Aarhus,Hjørring,176447,7278.6
231,Aarhus,Holbæk,252381.3,10746.7
232,Aarhus,Holstebro,134161.6,5655.7
233,Aarhus,Horsens,48849.3,2424.6
234,Aarhus,Hvidovre,295905,11667.3
235,Aarhus,Høje-Taastrup,291597.4,11505.5
236,Aarhus,Hørsholm,328207.1,13090.3
