,orig,dest,distance,duration
0,Guldborgsund,Randers,360688.1,15635
1,Guldborgsund,Rebild,374716.7,16507.2
2,Guldborgsund,Ringkøbing-Skjern,350486.0,15417.7
3,Guldborgsund,Ringsted,132764.0,5614.6
4,Guldborgsund,Roskilde,112173.4,4817.7
5,Guldborgsund,Rudersdal,154817.3,6290.9
6,Guldborgsund,Rødovre,129873.4,5254.1
7,Guldborgsund,Samsø,331337.3,17948.7
8,Guldborgsund,Silkeborg,327082.0,14801.9
9,Guldborgsund,Skanderborg,314385.2,13485.5
10,Guldborgsund,Skive,386959.4,16809.3
11,Guldborgsund,Slagelse,102436.7,5234.7
12,Guldborgsund,Solrød,107272.5,4248.9
13,Guldborgsund,Sorø,141285.2,5901.3
14,Guldborgsund,Stevns,87514.5,3519.9
15,Guldborgsund,Struer,351317.3,15093.6
16,Guldborgsund,Svendborg,164838.3,8421.5
17,Guldborgsund,Syddjurs,350814.5,15114.1
18,Guldborgsund,Sønderborg,357849.9,15532.9
19,Guldborgsund,Thisted,404234.8,17770.4
20,Guldborgsund,Tårnby,135393.2,5745.5
21,Guldborgsund,Tønder,317935.0,14413.9
22,Guldborgsund,Vallensbæk,121205.1,4821.8
23,Guldborgsund,Varde,316222.5,14445.8
24,Guldborgsund,Vejen,267783.8,12123.6
25,Guldborgsund,Vejle,253581.2,11896
26,Guldborgsund,Vesthimmerland,408217.6,17595.7
27,Guldborgsund,Viborg,343167.7,16087.4
28,Guldborgsund,Vordingborg,57834.5,3058.4
29,Guldborgsund,Ærø,191919.8,13009
30,Haderslev,Aabenraa,32096.7,1647.4
31,Haderslev,Aalborg,232174.4,8985.5
32,Haderslev,Aarhus,129071.7,5253.6
33,Haderslev,Albertslund,252730.4,10001.1
34,Haderslev,Allerød,287793.2,11675.9
35,Haderslev,Assens,103623.7,5130.1
36,Haderslev,Ballerup,258355.7,10282.6
37,Haderslev,Billund,73818.5,3722.1
38,Haderslev,Bornholm,434883.2,20247.3
39,Haderslev,Brønderslev,277876.3,10765.7
40,Haderslev,Dragør,265744.6,10723.5
41,Haderslev,Egedal,255676.4,10121.1
42,Haderslev,Esbjerg,46442.2,2835
43,Haderslev,Faaborg-Midtfyn,104109.1,5220.1
44,Haderslev,Fanø,109459.9,5190.5
45,Haderslev,Favrskov,126462.3,5376.5
46,Haderslev,Faxe,233760.9,9316.1
47,Haderslev,Fredensborg,291235.4,11828.9
48,Haderslev,Fredericia,56613.8,2569.6
49,Haderslev,Frederiksberg,257779.7,10467.1
50,Haderslev,Frederikshavn,316448.6,12282
51,Haderslev,Frederikssund,246396.8,11215.2
52,Haderslev,Furesø,261311.2,10552.3
53,Haderslev,Gentofte,272164.0,10993
54,Haderslev,Gladsaxe,265261.7,10625.3
55,Haderslev,Glostrup,252730.4,10001.1
56,Haderslev,Greve,233002.7,9226.8
57,Haderslev,Gribskov,303930.8,12418.6
58,Haderslev,Guldborgsund,268526.4,11941.4
59,Haderslev,Haderslev,0.0,0
60,Haderslev,Halsnæs,260849.0,12803.4
61,Haderslev,Hedensted,60117.8,2684.4
62,Haderslev,Helsingør,291235.4,11828.9
63,Haderslev,Herlev,256285.0,10152.8
64,Haderslev,Herning,152311.0,5996.3
65,Haderslev,Hillerød,259119.3,11883.8
66,Haderslev,Hjørring,291536.0,11137.4
67,Haderslev,Holbæk,208708.4,9096.2
68,Haderslev,Holstebro,177123.7,6918.1
69,Haderslev,Horsens,87309.4,3739.3
70,Haderslev,Hvidovre,252232.1,10016.8
71,Haderslev,Høje-Taastrup,247924.5,9855
72,Haderslev,Hørsholm,284534.2,11439.8
73,Haderslev,Ikast-Brande,132461.4,5195.3
74,Haderslev,Ishøj,245495.1,9878.7
75,Haderslev,Jammerbugt,263009.0,11187.3
76,Haderslev,Kalundborg,203312.5,9026.2
77,Haderslev,Kerteminde,112865.5,4742.6
78,Haderslev,Kolding,20787.1,1328
79,Haderslev,København,259864.9,10639.7
80,Haderslev,Køge,222352.8,8892.6
81,Haderslev,Langeland,156680.4,6652.8
82,Haderslev,Lejre,210979.3,8972.8
83,Haderslev,Lemvig,225014.1,9752.3
84,Haderslev,Lolland,280455.6,12590
85,Haderslev,Lyngby-Taarbæk,272147.4,10998.1
86,Haderslev,Læsø,317459.5,12521.8
87,Haderslev,Mariagerfjord,158150.1,6545.4
88,Haderslev,Middelfart,76472.3,3368.8
89,Haderslev,Morsø,216294.2,9791
90,Haderslev,Norddjurs,172737.7,6963.3
91,Haderslev,Nordfyn,84327.4,4214.3
92,Haderslev,Nyborg,135562.8,5683.7
93,Haderslev,Næstved,217923.2,9850.5
94,Haderslev,Odder,127070.7,5479.7
95,Haderslev,Odense,112865.5,4742.6
96,Haderslev,Odsherred,215744.5,9611.8
97,Haderslev,Randers,175884.3,7270.1
98,Haderslev,Rebild,189913.0,8142.3
99,Haderslev,Ringkøbing-Skjern,165682.2,7052.8
100,Haderslev,Ringsted,205609.5,8692.1
101,Haderslev,Roskilde,222838.0,9087.2
102,Haderslev,Rudersdal,279289.0,11185.1
103,Haderslev,Rødovre,254345.1,10148.3
104,Haderslev,Samsø,146533.6,9583.8
105,Haderslev,Silkeborg,142278.3,6437
106,Haderslev,Skanderborg,129581.5,5120.6
107,Haderslev,Skive,202155.7,8444.4
108,Haderslev,Slagelse,169236.3,7414.1
109,Haderslev,Solrød,231744.1,9143.1
110,Haderslev,Sorø,194032.1,8158.8
111,Haderslev,Stevns,222770.7,9103.1
112,Haderslev,Struer,166513.5,6728.7
113,Haderslev,Svendborg,141965.1,6142.5
114,Haderslev,Syddjurs,166010.8,6749.2
115,Haderslev,Sønderborg,94323.4,4296.5
116,Haderslev,Thisted,219431.1,9405.5
117,Haderslev,Tårnby,259864.9,10639.7
118,Haderslev,Tønder,54408.6,3177.5
119,Haderslev,Vallensbæk,245676.7,9716
120,Haderslev,Varde,110688.9,5257.7
121,Haderslev,Vejen,62250.2,2935.5
122,Haderslev,Vejle,68777.5,3531.1
123,Haderslev,Vesthimmerland,223413.9,9230.8
124,Haderslev,Viborg,158364.0,7722.5
125,Haderslev,Vordingborg,252605.0,11918
126,Haderslev,Ærø,156404.9,9464.6
127,Halsnæs,Aabenraa,285858.5,13670.1
128,Halsnæs,Aalborg,407213.4,18136.7
129,Halsnæs,Aarhus,304110.7,14404.8
130,Halsnæs,Albertslund,64228.4,3578.6
131,Halsnæs,Allerød,31691.6,2204.7
132,Halsnæs,Assens,186661.7,10439.4
133,Halsnæs,Ballerup,56982.2,3271.8
134,Halsnæs,Billund,262677.9,13384.8
135,Halsnæs,Bornholm,255571.9,14247.1
136,Halsnæs,Brønderslev,452915.3,19916.9
137,Halsnæs,Dragør,86433.3,4723.3
138,Halsnæs,Egedal,58911.9,3500.3
139,Halsnæs,Esbjerg,264425.1,12989.2
140,Halsnæs,Faaborg-Midtfyn,187147.2,10529.4
141,Halsnæs,Fanø,305228.8,15164.9
142,Halsnæs,Favrskov,301501.4,14527.7
143,Halsnæs,Faxe,111217.6,5497.5
144,Halsnæs,Fredensborg,39322.3,2598.5
145,Halsnæs,Fredericia,214389.1,10987.6
146,Halsnæs,Frederiksberg,64247.3,3793.3
147,Halsnæs,Frederikshavn,491487.6,21433.2
148,Halsnæs,Frederikssund,29770.1,2212.7
149,Halsnæs,Furesø,50851.4,3054.5
150,Halsnæs,Gentofte,64124.1,3875.5
151,Halsnæs,Gladsaxe,56929.8,3470
152,Halsnæs,Glostrup,64228.4,3578.6
153,Halsnæs,Greve,83461.5,4475.1
154,Halsnæs,Gribskov,34654.0,2418.5
155,Halsnæs,Guldborgsund,189214.9,8322.2
156,Halsnæs,Haderslev,260756.6,12815
157,Halsnæs,Halsnæs,0.0,0
158,Halsnæs,Hedensted,235156.9,11835.6
159,Halsnæs,Helsingør,39322.3,2598.5
160,Halsnæs,Herlev,60525.4,3598.5
161,Halsnæs,Herning,327350.1,15147.5
162,Halsnæs,Hillerød,18739.2,1469.8
163,Halsnæs,Hjørring,466575.1,20288.6
164,Halsnæs,Holbæk,75447.3,5136.5
165,Halsnæs,Holstebro,352162.8,16069.3
166,Halsnæs,Horsens,262348.5,12890.5
167,Halsnæs,Hvidovre,68411.7,3924.8
168,Halsnæs,Høje-Taastrup,71085.5,4104.5
169,Halsnæs,Hørsholm,48335.6,3255.9
170,Halsnæs,Ikast-Brande,307500.4,14346.5
171,Halsnæs,Ishøj,58088.7,4014.4
172,Halsnæs,Jammerbugt,438048.1,20338.5
173,Halsnæs,Kalundborg,92412.4,6165.7
174,Halsnæs,Kerteminde,155589.7,8724.9
175,Halsnæs,Kolding,246116.3,12257.8
176,Halsnæs,København,65017.1,3816.9
177,Halsnæs,Køge,92754.9,4807.1
178,Halsnæs,Langeland,193980.7,11109.8
179,Halsnæs,Lejre,49670.8,3874.6
180,Halsnæs,Lemvig,400053.1,18903.5
181,Halsnæs,Lolland,201144.1,8970.8
182,Halsnæs,Lyngby-Taarbæk,54287.4,3597.7
183,Halsnæs,Læsø,492498.5,21673
184,Halsnæs,Mariagerfjord,333189.1,15696.6
185,Halsnæs,Middelfart,190697.1,10128.4
186,Halsnæs,Morsø,391333.2,18942.2
187,Halsnæs,Norddjurs,347776.8,16114.5
188,Halsnæs,Nordfyn,203372.5,10970.2
189,Halsnæs,Nyborg,143450.1,8488.1
190,Halsnæs,Næstved,143400.4,6722.1
191,Halsnæs,Odder,302109.7,14630.9
192,Halsnæs,Odense,155589.7,8724.9
193,Halsnæs,Odsherred,73958.9,5045.7
194,Halsnæs,Randers,350923.4,16421.3
195,Halsnæs,Rebild,364952.0,17293.5
196,Halsnæs,Ringkøbing-Skjern,340721.3,16204
197,Halsnæs,Ringsted,55102.9,4251.9
198,Halsnæs,Roskilde,69874.9,4741.8
199,Halsnæs,Rudersdal,48025.0,3055.1
200,Halsnæs,Rødovre,63876.5,3652.6
201,Halsnæs,Samsø,321572.6,18735
202,Halsnæs,Silkeborg,317317.3,15588.2
203,Halsnæs,Skanderborg,304620.5,14271.8
204,Halsnæs,Skive,377194.7,17595.6
